ID;NAME;DESCRIPTION;IMAGE_PATH;QUANTITY;VERSION;ORIGIN;BRAND;PRICE;WEIGHT;WEIGHT_UNIT;CATEGORY_ID
12;Kiwi;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F12?alt=media&token=1fad0bac-8a91-42bd-98ff-da5753a9415a;100;1;Italie;Eco-responsable;0.79;1;U;4
13;Orange;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F13?alt=media&token=499ac3e7-3e0f-490d-936c-3cb3a1f37cc8;100;1;Espagne;Eco-responsable;2.19;2;KG;4
14;Grenade;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F14?alt=media&token=73d66703-0263-4103-9741-fcd6fc826461;100;1;Espagne;Eco-responsable;2.49;500;G;4
15;Citron Vert;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F15?alt=media&token=a7227490-1293-4745-8eba-c8e460068b9f;100;1;Espagne;Eco-responsable;2.59;200;G;4
16;Prune Rouge;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F16?alt=media&token=4ba82993-90eb-449c-af00-d44c2a4c5cb0;100;1;Espagne;Eco-responsable;3.79;500;G;4
17;Noix de coco;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F17?alt=media&token=014a770e-152e-4f87-b346-2d1b2a275531;100;1;Côte d’Ivoire;Eco-responsable;1.99;1;U;4
18;Citron;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F18?alt=media&token=ed9c5733-9b70-4ab7-9c43-47dd3980b841;100;1;Espagne;Eco-responsable;2.;500;G;4
19;Figue de Barbarie;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F19?alt=media&token=d7507f5d-49c5-44e4-87d6-b9494e31aeb9;100;1;Italie;Eco-responsable;2.29;500;G;4
20;Mangue;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F20?alt=media&token=0617d5df-c9e8-4a24-9c5f-fa5a018d0f4c;100;1;Espagne;Eco-responsable;1.99;1;U;4
21;Figue Noire;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F21?alt=media&token=46f7e6c5-59c0-427a-abdf-7263137c549e;100;1;Turquie;Eco-responsable;3.99;500;G;4
22;Coing;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F22?alt=media&token=0245d726-ecbe-4089-92b4-12d64ba0c673;100;1;France;Panier du primeur;3.79;1;KG;4
23;Framboise;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F23?alt=media&token=f592fbea-782a-48e3-9848-9698d5b5e1a5;100;1;Portugal;Eco-responsable;3.29;125;G;4
24;Framboise;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F24?alt=media&token=caf8077d-d691-403b-a07f-bae2268b8c80;100;1;France;Panier du primeur;17.99;1;KG;4
25;Myrtille;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F25?alt=media&token=1505e0bb-3afd-4faa-936d-59b0ff194a0b;100;1;Portugal;Eco-responsable;2.99;125;G;4
26;Prune Jaune;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F26?alt=media&token=f4f7cd7e-5531-43c7-a9e4-b9b710e3e320;100;1;France;Panier du primeur;4.79;750;G;4
27;Amande;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F27?alt=media&token=4aa52adc-92cb-4bd6-bb9f-eaa995b3aa0b;100;1;Allemagne;Seeberger;2.72;200;G;5
28;Cerneaux de noix;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F28?alt=media&token=f947cd1b-6060-4d1a-bbaf-43d75ab15c60;100;1;France;Maître Prunille;4.65;150;G;5
29;Noisette décortiquée;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F29?alt=media&token=8c638003-ae6a-4b87-bcd8-7e48c3df363f;100;1;France;Maître Prunille;5.13;250;G;5
30;Abricot Sec;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F30?alt=media&token=b9542174-fad8-4eba-96f2-38781f9a565b;100;1;France;Maître Prunille;2.99;250;G;5
31;Pruneau d’Agen;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F31?alt=media&token=aee2b8d0-b86d-47b7-9148-0c1e1d3a179e;100;1;France;Maître Prunille;2.6;250;G;5
32;Dattes;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F32?alt=media&token=eef6b773-900b-4fe0-8ce2-ed2276abb55b;100;1;Turquie;Eco-responsable;1.29;250;G;5
33;Chouchou;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F33?alt=media&token=8e1d64c3-0fe0-4928-af24-9e0a9fb42b85;100;1;France;Maître Prunille;3.8;500;G;5
34;Champignon de Paris;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F34?alt=media&token=c594a137-8f9a-4a5d-aac2-5df91dda09dd;100;1;France;Panier du primeur;4.49;1;KG;3
35;Courgette;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F35?alt=media&token=f1d50e9f-bcb4-459b-b94f-8c69c3258cbc;100;1;France;Panier du primeur;4.49;2;KG;3
36;Oignon Jaune;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F36?alt=media&token=a44b1fab-8d1b-4420-977d-a161e167e438;100;1;France;Panier du primeur;1.69;2;KG;3
37;Avocat;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F37?alt=media&token=bb6a8afc-7e74-4a38-a789-2cb1fc4d7b8f;100;1;Mexique;Eco-responsable;3.49;5;U;3
38;Aubergine;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F38?alt=media&token=6393b94f-c68a-4361-a56f-bb4980725253;100;1;Espagne;Eco-responsable;2.69;500;G;3
39;Celeri Rave;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F39?alt=media&token=265ac34e-f6bd-4185-b024-648a55539265;100;1;France;Panier du primeur;4.49;1;U;3
40;Chou;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F40?alt=media&token=273e4169-e866-4235-91a9-4c03f2824463;100;1;France;Panier du primeur;3.99;1;U;3
41;Butternut;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F41?alt=media&token=b85611d9-ac48-4149-bdc9-4d1de7f12daa;100;1;France;Panier du primeur;3.29;1;U;3
42;Viande Hachée de bœuf;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F42?alt=media&token=984b9046-2bd2-403a-8f2f-382d469e7795;100;1;France;;4.50;500;G;11
43;Steak Hachée x 2;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F43?alt=media&token=864963ce-5b62-4a48-a7e5-3619c466dea0;100;1;France;Charal;4.15;260;G;11
44;Steak Hachée x 4;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F44?alt=media&token=adb67a9f-6d82-4209-a738-d2010078bb86;100;1;France;Charal;5.95;400;G;11
45;Faux Filets;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F45?alt=media&token=4d3519f6-6362-45a6-9927-e5e1b383900a;100;1;France;Charal;3.46;150;G;11
46;Biftfeks;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F46?alt=media&token=73410ce9-a8a4-4e0a-bf49-a8c77bdd57dc;100;1;France;Charal;3.84;200;G;11
47;Onglet de Boeuf;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F47?alt=media&token=361aeb13-5ef3-458a-adab-f808708a1572;100;1;France;Charal;6.47;150;G;11
48;Bavette d’Aloyau;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F48?alt=media&token=a1fde04c-22f0-44e4-9be9-1348e0424829;100;1;France;Charal;8.18;250;G;11
49;Chipolatas;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F49?alt=media&token=0a3595d6-256a-4daf-8307-baf0a55a2e1f;100;1;France;Bigard;3.55;330;G;12
50;Saucisse de Toulouse;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F50?alt=media&token=fb7843f1-262a-4004-8cd7-9282ed032764;100;1;France;Bigard;3.89;400;G;12
51;Viande Hachée de Porc;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F51?alt=media&token=074b7635-5f5c-4835-8caa-c0d9862bc0bd;100;1;France;Bigard;3.44;350;G;12
52;Cuisse de Poulet Roti;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F52?alt=media&token=7b6eb0f6-92fc-4b69-9c39-e9c74d00b4ab;100;1;France;Le Gaulois;3.78;350;G;10
53;Haut de Cuisse de Poulet;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F53?alt=media&token=f80c8417-9f0f-44e1-8cd5-7d9a0b3376fa;100;1;France;Le Gaulois;4.80;750;G;10
54;Filet Découpés de Poulet;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F54?alt=media&token=bcbeec25-0121-4d7b-a40e-ef3ad7befdce;100;1;France;Le Gaulois;4.99;300;G;10
55;Escalopes de Poulet;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F55?alt=media&token=8c2b5184-66ae-4505-ac60-fd2d3ce7fb1f;100;1;France;Le Gaulois;5.69;250;G;10
56;Blancs de Poulet;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F56?alt=media&token=b1cfcfb1-b0cc-4455-949c-1a42aea7561b;100;1;France;Le Gaulois;12.11;800;G;10
57;Poulet Fermier de l’Ardèche;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F57?alt=media&token=9be9490c-ba82-44e0-a30e-f33613cfe2f1;100;1;France;;17.55;1.4;KG;10
58;Filets de Maquereaux Fumé au bois de Hêtre;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F58?alt=media&token=a019df19-b3aa-4d83-a7c6-fab6c7a9a504;100;1;France;Casino Délices;5.50;160;G;9
59;Dos de Cabillaud;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F59?alt=media&token=12aed57d-524d-469d-8758-ab7bec742edf;100;1;France;;6.99;200;G;9
60;Dos de Lieu Noir;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F60?alt=media&token=e0709c78-41e6-44f3-b411-54d16498bc4c;100;1;France;;6.99;250;G;9
61;Dos de Julienne;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F61?alt=media&token=50a49398-9a32-4058-97fd-99f917f98ba0;100;1;France;Pavillon France;6.99;250;G;9
62;Truite Fario de Saint Martin d’Uriage;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F62?alt=media&token=b7622a53-0997-434b-b1f8-8d30ae0830d2;100;1;France;Chasseur/Cueilleur;5;250;G;36
63;Truite Fario de la Chartreuse;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F63?alt=media&token=2acbcbb9-f155-422e-9c8f-478aefa77689;100;1;France;Chasseur/Cueilleur;5;250;G;36
64;Truite Fario du Ventoux;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F64?alt=media&token=957bcb16-401c-4b38-883b-2add46ce1555;100;1;France;Chasseur/Cueilleur;5;250;G;36
65;Truite Arc en Ciel du Lac Laffrey;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F66?alt=media&token=fd1e6da0-a1b4-4cbe-bad8-d012412260c1;100;1;France;Chasseur/Cueilleur;15;1;KG;36
66;Morille de Belledone;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F67?alt=media&token=16312ea5-9419-47e0-8b52-3938bd5d05b0;100;1;France;Chasseur/Cueilleur;5;100;G;36
67;Champignons du Ventoux;Melange de Pinets et de Pieds Moutons avec leur copain le Thym;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F68?alt=media&token=c42d0351-770c-464c-aa90-57bd708144d2;100;1;France;Chasseur/Cueilleur;25;1;KG;36
68;Lactaire délicieux de la Chartreuse;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F69?alt=media&token=9b320bfe-0f2b-4db7-892d-18dfddef5e2b;100;1;France;Chasseur/Cueilleur;10;500;G;36
69;Cèpes de la Haute Loire;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F70?alt=media&token=7c653922-84c3-4f7c-b7d0-5a08d23af82a;100;1;France;Chasseur/Cueilleur;17.50;500;G;36
70;Chanterelle du Ventoux;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F71?alt=media&token=2c0da242-684b-4477-b35d-c1eb4d5a261c;100;1;France;Chasseur/Cueilleur;25;1;KG;36
71;Yaourth x8;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F72?alt=media&token=ba60d470-d5fe-451c-ab70-7bd3ee4798e7;100;1;France;Calin;1.74;800;G;18
72;Carotte;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F73?alt=media&token=edf13da3-b531-4170-87c0-6d0dd26974ff;100;1;France;Panier du primeur;0.28;200;G;3
73;Blanc de Poulet Halal;;https://firebasestorage.googleapis.com/v0/b/ecom-b3e03.appspot.com/o/uploads%2Fproducts%2F74?alt=media&token=31be65f3-96cb-41cc-9fe3-d7aaa7cbe1f3;100;1;France;Wassila;1.98;160;G;10
